age,mass,luminosity,temperature,gravity,radius,Mv,Mr,Mi,Mj,Mh,Mk,Mll,Mm
5,0.012,-6.823,361,4.519,0.1,31.58,27.86,25.46,21.77,22.17,28.16,17.41,15.32
5,0.015,-6.671,399,4.634,0.098,30.2,26.35,24,20.85,21.14,26.01,16.96,14.97
5,0.02,-6.401,473,4.786,0.095,29.24,25.17,22.66,19.89,19.92,23.31,16.18,14.45
5,0.03,-6.008,610,5.011,0.09,28.17,23.83,21.17,18.34,18.31,20.04,15.04,13.71
5,0.04,-5.67,760,5.179,0.085,27.58,23.15,20.4,17.04,17.11,17.99,14.17,13.13
5,0.05,-5.353,931,5.313,0.082,27.09,22.63,19.82,15.94,16.05,16.38,13.38,12.63
5,0.06,-4.106,1801,5.291,0.092,26.44,22.03,19.2,15.01,15.13,15.15,12.73,12.27
5,0.07,-3.829,2082,5.333,0.094,24.33,20.36,17.6,13.52,13.5,13.44,11.6,11.77
5,0.072,-3.772,2140,5.336,0.095,23.11,19.36,16.75,12.97,12.85,12.8,11.16,11.54
5,0.075,-3.679,2234,5.334,0.098,21.03,17.8,15.34,12.2,11.92,11.78,10.54,11.06
5,0.08,-3.603,2320,5.353,0.099,19.11,16.28,13.89,11.44,11.07,10.82,9.97,10.43
5,0.09,-3.275,2622,5.289,0.113,17.02,14.88,12.7,10.73,10.31,10.04,9.42,9.73
5,0.1,-3.083,2785,5.247,0.125,15.85,14.09,12.09,10.33,9.89,9.62,9.07,9.31
10,0.003,-8.629,125,3.879,0.104,61.46,55.89,50.79,38.29,35.04,54.28,23.36,20.89
10,0.004,-8.325,149,4.006,0.104,58,52.62,47.86,36.01,33.56,51.11,22.59,20.19
10,0.005,-8.087,172,4.109,0.103,54.62,49.46,45.05,34.06,32.18,48.26,21.92,19.57
10,0.006,-7.888,193,4.195,0.102,51.29,46.38,42.3,32.23,30.85,45.53,21.29,18.97
10,0.007,-7.724,213,4.27,0.102,48.17,43.5,39.72,30.55,29.62,43.01,20.71,18.41
10,0.008,-7.584,232,4.335,0.101,45.19,40.77,37.28,29,28.46,40.66,20.18,17.89
10,0.009,-7.469,249,4.393,0.1,42.49,38.3,35.07,27.62,27.41,38.55,19.7,17.42
10,0.01,-7.368,265,4.445,0.099,39.95,35.99,33,26.34,26.44,36.59,19.26,16.98
10,0.012,-7.204,293,4.536,0.098,35.23,31.68,29.12,24.04,24.64,33.06,18.48,16.2
10,0.015,-7.016,330,4.65,0.096,32.81,29.25,26.8,22.7,23.33,30.46,17.93,15.76
10,0.02,-6.759,389,4.802,0.093,30.75,26.99,24.64,21.28,21.73,27.02,17.21,15.19
10,0.03,-6.358,504,5.029,0.088,28.98,24.87,22.35,19.72,19.68,22.59,16.04,14.37
10,0.04,-6.004,634,5.2,0.083,28.18,23.85,21.19,18.33,18.33,19.99,15.03,13.75
10,0.05,-5.695,776,5.338,0.079,27.64,23.21,20.47,17.1,17.18,18.07,14.23,13.21
10,0.06,-4.106,1801,5.291,0.092,27.2,22.74,19.93,16.04,16.18,16.55,13.5,12.73
10,0.07,-3.829,2082,5.333,0.094,25.69,21.45,18.6,14.37,14.43,14.36,12.27,12.08
10,0.072,-3.772,2140,5.336,0.095,24.17,20.22,17.48,13.44,13.41,13.36,11.55,11.75
10,0.075,-3.679,2234,5.334,0.098,21.1,17.85,15.39,12.23,11.95,11.81,10.56,11.08
10,0.08,-3.602,2322,5.353,0.099,19.1,16.27,13.89,11.43,11.06,10.82,9.97,10.43
10,0.09,-3.274,2624,5.289,0.113,17.01,14.88,12.69,10.73,10.31,10.04,9.41,9.73
10,0.1,-3.082,2786,5.246,0.125,15.85,14.09,12.08,10.32,9.88,9.62,9.07,9.3
