# Vega spectrum from Kurucz intensity models, resolution 500
# corrected to 10 pc distance assuming R = 2.5 Rsun
# flux units of erg/s/cm2/micron
Wavelength	Flux
1.13839	4.19266e-06
1.13953	4.17892e-06
1.14068	4.16357e-06
1.14182	4.15145e-06
1.14296	4.13852e-06
1.14411	4.11994e-06
1.14526	4.10297e-06
1.14641	4.09409e-06
1.14756	4.08197e-06
1.14871	4.06823e-06
1.14986	4.05369e-06
1.15101	4.03914e-06
1.15216	4.02541e-06
1.15332	4.01086e-06
1.15447	3.99713e-06
1.15563	3.98258e-06
1.15679	3.96804e-06
1.15795	3.95430e-06
1.15911	3.93895e-06
1.16027	3.92118e-06
1.16144	3.90098e-06
1.16260	3.88320e-06
1.16377	3.87350e-06
1.16493	3.85330e-06
1.16610	3.82260e-06
1.16727	3.81452e-06
1.16844	3.82018e-06
1.16961	3.81614e-06
1.17078	3.80483e-06
1.17196	3.79109e-06
1.17313	3.77331e-06
1.17431	3.73776e-06
1.17549	3.69736e-06
1.17666	3.70463e-06
1.17784	3.71352e-06
1.17902	3.70463e-06
1.18021	3.69171e-06
1.18139	3.67959e-06
1.18257	3.66181e-06
1.18376	3.63999e-06
1.18495	3.63030e-06
1.18613	3.62545e-06
1.18732	3.61333e-06
1.18851	3.59394e-06
1.18971	3.57455e-06
1.19090	3.57212e-06
1.19209	3.56889e-06
1.19329	3.55596e-06
1.19448	3.53819e-06
1.19568	3.52284e-06
1.19688	3.51556e-06
1.19808	3.50102e-06
1.19928	3.48648e-06
1.20048	3.47921e-06
1.20169	3.46870e-06
1.20289	3.45173e-06
1.20410	3.43961e-06
1.20530	3.43234e-06
1.20651	3.42022e-06
1.20772	3.40245e-06
1.20893	3.38629e-06
1.21014	3.37821e-06
1.21136	3.36851e-06
1.21257	3.35962e-06
1.21379	3.34912e-06
1.21500	3.33781e-06
1.21622	3.32569e-06
1.21744	3.31276e-06
1.21866	3.30064e-06
1.21988	3.28933e-06
1.22111	3.27802e-06
1.22233	3.26670e-06
1.22356	3.25378e-06
1.22478	3.24004e-06
1.22601	3.22792e-06
1.22724	3.21661e-06
1.22847	3.20772e-06
1.22970	3.19722e-06
1.23093	3.18510e-06
1.23217	3.17217e-06
1.23340	3.16005e-06
1.23464	3.14874e-06
1.23588	3.13985e-06
1.23712	3.13015e-06
1.23836	3.11884e-06
1.23960	3.10834e-06
1.24084	3.09783e-06
1.24209	3.08652e-06
1.24333	3.07521e-06
1.24458	3.06309e-06
1.24582	3.04774e-06
1.24707	3.03400e-06
1.24832	3.02835e-06
1.24958	3.02027e-06
1.25083	3.00976e-06
1.25208	2.99845e-06
1.25334	2.98714e-06
1.25459	2.97502e-06
1.25585	2.95967e-06
1.25711	2.94593e-06
1.25837	2.93704e-06
1.25963	2.92816e-06
1.26089	2.91523e-06
1.26216	2.90472e-06
1.26342	2.89826e-06
1.26469	2.88937e-06
1.26596	2.87725e-06
1.26723	2.86513e-06
1.26850	2.85220e-06
1.26977	2.83928e-06
1.27104	2.82473e-06
1.27232	2.80857e-06
1.27359	2.78837e-06
1.27487	2.76333e-06
1.27615	2.72939e-06
1.27743	2.67687e-06
1.27871	2.59203e-06
1.27999	2.44659e-06
1.28127	2.25106e-06
1.28256	2.19612e-06
1.28384	2.35206e-06
1.28513	2.50719e-06
1.28642	2.59122e-06
1.28771	2.63243e-06
1.28900	2.65182e-06
1.29029	2.65990e-06
1.29158	2.66152e-06
1.29288	2.65910e-06
1.29418	2.65344e-06
1.29547	2.64698e-06
1.29677	2.64051e-06
1.29807	2.63243e-06
1.29937	2.62516e-06
1.30068	2.61627e-06
1.30198	2.60819e-06
1.30328	2.59930e-06
1.30459	2.59042e-06
1.30590	2.58153e-06
1.30721	2.57264e-06
1.30852	2.56375e-06
1.30983	2.55486e-06
1.31114	2.54598e-06
1.31246	2.53547e-06
1.31377	2.52658e-06
1.31509	2.51608e-06
1.31641	2.50396e-06
1.31773	2.49669e-06
1.31905	2.49184e-06
1.32037	2.48376e-06
1.32170	2.47487e-06
1.32302	2.46599e-06
1.32435	2.45791e-06
1.32567	2.44902e-06
1.32700	2.44013e-06
1.32833	2.43124e-06
1.32967	2.42316e-06
1.33100	2.41427e-06
1.33233	2.40619e-06
1.33367	2.39731e-06
1.33501	2.38842e-06
1.33634	2.38034e-06
1.33768	2.37145e-06
1.33902	2.36337e-06
1.34037	2.35448e-06
1.34171	2.34560e-06
1.34306	2.33752e-06
1.34440	2.32944e-06
1.34575	2.31974e-06
1.34710	2.31085e-06
1.34845	2.30358e-06
1.34980	2.29469e-06
1.35115	2.28580e-06
1.35251	2.27853e-06
1.35387	2.27045e-06
1.35522	2.26156e-06
1.35658	2.25429e-06
1.35794	2.24621e-06
1.35930	2.23813e-06
1.36066	2.23086e-06
1.36203	2.22278e-06
1.36339	2.21470e-06
1.36476	2.20581e-06
1.36613	2.19773e-06
1.36750	2.19046e-06
1.36887	2.18077e-06
1.37024	2.17107e-06
1.37162	2.16541e-06
1.37299	2.15895e-06
1.37437	2.14925e-06
1.37575	2.14198e-06
1.37712	2.13552e-06
1.37850	2.12905e-06
1.37989	2.12178e-06
1.38127	2.11451e-06
1.38265	2.10643e-06
1.38404	2.09916e-06
1.38543	2.09189e-06
1.38682	2.08461e-06
1.38821	2.07734e-06
1.38960	2.06926e-06
1.39099	2.06199e-06
1.39239	2.05391e-06
1.39378	2.04583e-06
1.39518	2.03856e-06
1.39658	2.03209e-06
1.39798	2.02563e-06
1.39938	2.01755e-06
1.40078	2.01028e-06
1.40219	2.00382e-06
1.40359	1.99654e-06
1.40500	1.98927e-06
1.40641	1.98200e-06
1.40782	1.97554e-06
